Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,FrOvLi,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2,-3.5,-0.1346,100.0,100.0,11.2487,2.01,FailureType.no_failure,FailureType.omission,4.1024,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.1024,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1349,100.0,100.0,11.4464,1.9917,FailureType.no_failure,FailureType.omission,4.0683,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.0683,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1384,100.0,100.0,11.6439,1.9734,FailureType.no_failure,FailureType.omission,4.0457,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.0457,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1348,100.0,100.0,11.8413,1.9552,FailureType.no_failure,FailureType.omission,4.0390,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.0390,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1365,100.0,100.0,12.0389,1.937,FailureType.no_failure,FailureType.omission,4.0814,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.0814,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1359,100.0,100.0,12.2366,1.9189,FailureType.no_failure,FailureType.omission,4.5881,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.5881,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1317,100.0,100.0,12.4345,1.9006,FailureType.no_failure,FailureType.omission,5.6786,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,5.6786,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1301,100.0,100.0,12.6321,1.8824,FailureType.no_failure,FailureType.omission,6.9521,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,6.9521,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1338,100.0,100.0,12.8292,1.864,FailureType.no_failure,FailureType.omission,8.0768,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,8.0768,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1411,100.0,100.0,13.0258,1.8455,FailureType.no_failure,FailureType.omission,8.6331,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,8.6331,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
